"CountryCode","CityCode","City","ProductID","Possession","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"CN","CN","Total",2494,"Possession of Air Conditioner",42.01145203,46.7684841,52.03255133,56.53272642,62.01609088,65.19267563,67.93436819,70.04578334,71.53276342,72.70685375,73.59064737,74.24710368,74.74975928,75.12807512,75.41278396,75.62865068,75.79140835,75.91424783,76.00711151,76.07719685,76.13012065,76.1700971,76.20027961,76.22307272,76.24028606,76.25328402
"CN","CN","Total",2495,"Possession of Bicycle",75.8,74.6,73.77,73.33,72.78111111,72.37691358,72.06733882,71.7165996,71.42090196,71.15534318,70.90201106,70.67573646,70.46874604,70.27802462,70.10469505,69.94607244,69.80088533,69.66834663,69.54713874,69.43632382,69.33505674,69.24247621,69.15784773,69.08049326,69.00978118,68.94514368
"CN","CN","Total",87218,"Possession of Broadband Internet Enabled Computer",6.62,13,14.35,16.7,19.85,23,30.28870747,36.89360362,43.42361235,47.01461577,49.91549389,51.73579172,52.84144233,53.92894082,54.9040593,55.78413362,56.60154787,57.34393872,58.021683,58.6432245,59.21035689,59.72880638,60.20300732,60.63628033,61.03237018,61.39447123
"CN","CN","Total",12980,"Possession of Cable TV",32.33279533,34.3658355,36.3791623,39.7983536,40.93082163,44.34731237,46.40762724,48.40484403,50.27205114,51.97107743,53.65697143,55.24852519,56.63087909,57.92526844,59.1109065,60.1837902,61.17070995,62.07222148,62.89480897,63.64786974,64.28303892,64.84991519,65.35122447,65.7879821,66.20602187,66.58271817
"CN","CN","Total",2497,"Possession of Camera",24.61387618,25.66838743,25.74890672,23.09857438,25.16496391,26.83764238,27.38969055,28.34327192,29.04956258,29.54110041,30.01919149,30.39161806,30.68985261,30.94513087,31.15089518,31.31962343,31.4595725,31.57389287,31.66789235,31.74528545,31.80877721,31.86097373,31.9038807,31.93912409,31.96809007,31.9918937
"CN","CN","Total",2499,"Possession of Colour TV Set",94.26470941,94.67172314,96.75309122,97.54498431,97.9206259,98.11352294,98.22520017,98.27596254,98.29829799,98.3135267,98.32266393,98.32875542,98.33383165,98.3368774,98.33880637,98.33972009,98.34135577,98.34259976,98.34365348,98.34474609,98.34568784,98.34654564,98.34734902,98.34807206,98.34873434,98.34934231
"CN","CN","Total",12982,"Possession of Cooker",50.8,52.2,53.64993673,55.29608725,56.84634572,58.3147697,59.6401009,60.94897206,62.18889154,63.42161866,64.58003149,65.71482165,66.76077499,67.74267307,68.71888055,69.62409385,70.43114383,71.18575537,71.89375224,72.5579249,73.172172,73.7398645,74.26925981,74.76262052,75.22163945,75.64783377
"CN","CN","Total",2500,"Possession of Dishwasher",0.266489425,0.286702639,0.247385658,0.307988112,0.336576699,0.365002549,0.394230842,0.425962469,0.454741935,0.478344947,0.504268559,0.528564746,0.550084808,0.57261747,0.591962471,0.610244735,0.6250814,0.638593731,0.650984981,0.661956432,0.671755587,0.680367106,0.688107105,0.695038977,0.701206536,0.706701551
"CN","CN","Total",59926,"Possession of DVD Player/Recorder",21.08143099,24.18607133,26.72225639,28.72399632,30.39535199,31.79462651,33.20361821,34.44795762,35.57368141,36.62341888,37.57336351,38.44153181,39.23815693,39.96447305,40.62867015,41.23620857,41.79122292,42.29865343,42.76253768,43.18651799,43.57409995,43.92839065,44.2522387,44.54827223,44.81887565,45.06623259
"CN","CN","Total",2501,"Possession of Freezer",3.76,3.92,4.038971382,4.161685867,4.275727297,4.383612251,4.478834547,4.571499534,4.657659886,4.743885591,4.824046397,4.900839871,4.973344146,5.039637777,5.106267453,5.167178223,5.215216679,5.259229432,5.299253372,5.335599555,5.367706049,5.395779945,5.421058802,5.443714914,5.46393953,5.481907126
"CN","CN","Total",2502,"Possession of Hi-Fi Stereo",20.57108964,21.52947367,22.44834862,23.24141064,23.92610834,24.54063004,25.07711246,25.54780524,25.96362495,26.32849544,26.64936287,26.95535111,27.2308306,27.48147925,27.71262269,27.9229759,28.11523849,28.29128272,28.45202162,28.59897876,28.73335106,28.85614782,28.9684051,29.07102353,29.16482143,29.2505641
"CN","CN","Total",59927,"Possession of Internet Enabled Computer",11,13.44444466,16.43209839,18.25788689,20.3,23.66,30.85390091,37.36425483,43.9,47.44,50.30204222,52.09897814,53.17318397,54.23467062,55.18733951,56.04521767,56.84300481,57.56754208,58.22870946,58.83523496,59.38863222,59.89449059,60.35720758,60.77997775,61.16646262,61.51978818
"CN","CN","Total",2503,"Possession of Microwave Oven",21.37631392,24,25.90976593,27.60607372,29.33656256,30.81894105,32.1826008,33.2722501,34.20931857,35.01655131,35.69130143,36.26726603,36.75725353,37.17170643,37.52418382,37.82344995,38.07730625,38.29292525,38.47595892,38.6313182,38.76322581,38.87520214,38.97026004,39.05096048,39.11946874,39.17762745
"CN","CN","Total",68800,"Possession of Mobile Telephone",64.58878999,73.83432172,80.46088116,84.87454032,87.81137224,89.78378936,91.15680852,92.15528496,92.90747896,93.48647436,93.93703696,94.28928324,94.56519068,94.78139984,94.95084796,95.08361648,95.18680864,95.26758592,95.33080149,95.38024764,95.41889361,95.44906856,95.47267195,95.49112969,95.50555923,95.51683727
